Day,Avg_Tx_fee_ETH,Total_ETH,active_users,new_users,returning_users,tx_count
2026-04-23,0.0003721093100582,1681792.864,495334,151641,343693,1933746
2026-04-24,0.0002902434883773,2033147.026,583910,141666,442244,2035895
2026-04-25,0.0001690075891052,524757.9676,771312,228674,542638,2114944
2026-04-26,0.0002596702893074,618515.4706,590334,154141,436193,2387950
2026-04-27,0.0002462452385728,2014747.681,471406,130539,340867,3161280
2026-04-28,0.0001550035885366,1480597.427,428081,126796,301285,3627491
2026-04-29,0.0001586560052240,1939729.73,429820,119957,309863,3241629
2026-04-30,0.0001465965937852,1653768.752,514122,177851,336271,3197359
2026-05-01,0.0001033645272403,1526195.615,508965,158180,350785,2896417
2026-05-02,0.0000618161139559,453325.8781,380844,107385,273459,3170691
2026-05-03,0.0000838932273989,545363.8173,393221,111818,281403,2480596
2026-05-04,0.0001697666413847,1763486.817,479619,142148,337471,2138093
2026-05-05,0.0001011536551651,1586672.723,617277,216224,401053,2001403
2026-05-06,0.0001626285356689,2061236.304,634169,234474,399695,2018650
2026-05-07,0.0002180908060667,1855809.692,562918,171597,391321,1950229
2026-05-08,0.0003094565960613,1787641.925,467921,141220,326701,1822874
2026-05-09,0.0001005905984102,1015112.948,560421,198998,361423,1843847
2026-05-10,0.0001512147145444,1584920.509,491713,164197,327516,1782298
2026-05-11,0.0002352041531134,1403592.482,517347,151737,365610,1954445
2026-05-12,0.0001820000654340,1586960.796,584477,190425,394052,1966401
2026-05-13,0.0001046958336798,1769370.847,669505,248064,421441,2313802
2026-05-14,0.0001262577539938,1507129.681,514886,133867,381019,1969580
2026-05-15,0.0002435730320947,1900931.963,530816,170033,360783,1788096
2026-05-16,0.0000972859263622,824147.7057,518544,173438,345106,1972251
2026-05-17,0.0000710435895260,611310.6909,461279,139974,321305,1960969
2026-05-18,0.0001139638684546,1840464.425,545054,177952,367102,1824281
2026-05-19,0.0000770564235415,1479615.009,536503,174144,362359,1932741
2026-05-20,0.0001328113466850,1210855.698,513461,153436,360025,2086396
2026-05-21,0.0000649263141860,1218459.62,495703,141970,353733,2320690
2026-05-22,0.0000679780840130,1441915.52,511789,149467,362322,2311203
2026-05-23,0.0000469641409987,1415722.515,410701,112175,298526,2328963
